iter	Passed	Remaining
759	1258	2053
760	1260	2051
761	1262	2050
762	1263	2049
763	1265	2047
764	1267	2045
765	1268	2043
766	1270	2042
767	1272	2040
768	1273	2038
769	1275	2037
770	1276	2035
771	1293	2056
772	1310	2080
773	1312	2079
774	1314	2077
775	1316	2075
776	1317	2073
777	1319	2072
778	1320	2070
779	1322	2068
780	1323	2066
781	1325	2064
782	1327	2063
783	1329	2062
784	1330	2060
785	1332	2058
786	1334	2056
787	1335	2054
788	1337	2052
789	1338	2050
790	1340	2048
791	1342	2046
792	1344	2045
793	1345	2043
794	1347	2042
795	1348	2040
796	1350	2038
797	1352	2036
798	1353	2034
799	1355	2033
800	1357	2031
801	1358	2029
802	1361	2029
803	1363	2027
804	1364	2025
805	1366	2024
806	1368	2022
807	1369	2020
808	1371	2019
809	1373	2017
810	1374	2015
811	1377	2015
812	1378	2013
813	1380	2011
814	1382	2009
815	1383	2008
816	1385	2006
817	1387	2004
818	1389	2003
819	1390	2001
820	1392	2000
821	1394	1998
822	1396	1997
823	1398	1995
824	1399	1993
825	1401	1991
826	1403	1990
827	1404	1988
828	1406	1986
829	1408	1986
830	1410	1984
831	1412	1982
832	1414	1981
833	1415	1979
834	1417	1977
835	1419	1975
836	1420	1974
837	1422	1972
838	1424	1971
839	1426	1970
840	1428	1968
841	1430	1966
842	1431	1965
843	1433	1963
844	1435	1961
845	1436	1959
846	1438	1958
847	1441	1958
848	1443	1956
849	1444	1954
850	1446	1952
851	1448	1951
852	1449	1949
853	1451	1947
854	1453	1946
855	1454	1944
856	1457	1944
857	1459	1942
858	1461	1940
859	1462	1939
860	1464	1937
861	1466	1935
862	1467	1933
863	1469	1932
864	1471	1930
865	1473	1929
866	1475	1927
867	1476	1926
868	1478	1924
869	1480	1922
870	1482	1921
871	1483	1919
872	1485	1917
873	1487	1915
874	1488	1914
875	1490	1913
876	1492	1911
877	1494	1909
878	1496	1907
879	1497	1906
880	1499	1904
881	1501	1902
882	1503	1901
883	1504	1899
884	1507	1898
885	1509	1897
886	1510	1895
887	1512	1893
888	1514	1892
889	1515	1890
890	1517	1888
891	1518	1886
892	1520	1884
893	1522	1883
894	1524	1882
895	1526	1880
896	1527	1878
897	1529	1876
898	1531	1875
899	1532	1873
900	1534	1871
901	1536	1869
902	1538	1868
903	1540	1867
904	1541	1865
905	1543	1863
906	1544	1861
907	1546	1859
908	1548	1858
909	1549	1856
910	1551	1854
911	1553	1852
912	1555	1851
913	1556	1849
914	1558	1848
915	1560	1846
916	1561	1844
917	1563	1842
918	1565	1841
919	1566	1839
920	1568	1837
921	1571	1837
922	1573	1835
923	1575	1834
924	1576	1832
925	1578	1830
926	1580	1828
927	1581	1827
928	1583	1825
929	1584	1823
930	1586	1821
931	1588	1820
932	1590	1818
933	1591	1816
934	1593	1815
935	1595	1813
936	1596	1811
937	1598	1809
938	1600	1807
939	1601	1806
940	1604	1805
941	1605	1803
942	1607	1801
943	1608	1799
944	1610	1797
945	1612	1796
946	1613	1794
947	1615	1792
948	1617	1790
949	1618	1789
950	1621	1788
951	1622	1786
952	1624	1784
953	1626	1782
954	1627	1780
955	1629	1779
956	1630	1777
957	1632	1775
958	1634	1773
959	1636	1772
960	1638	1770
961	1639	1769
962	1641	1767
963	1642	1765
964	1644	1763
965	1645	1761
966	1647	1760
967	1649	1758
968	1650	1756
969	1653	1755
970	1654	1753
971	1656	1751
972	1658	1750
973	1659	1748
974	1661	1746
975	1662	1744
976	1664	1742
977	1665	1740
978	1667	1739
979	1669	1737
980	1671	1736
981	1673	1734
982	1674	1732
983	1676	1730
984	1677	1728
985	1679	1727
986	1681	1725
987	1682	1723
988	1684	1722
989	1686	1720
990	1688	1718
991	1689	1717
992	1691	1715
993	1693	1713
994	1694	1711
995	1696	1709
996	1697	1708
997	1699	1706
998	1701	1705
999	1703	1703
1000	1704	1701
1001	1706	1699
1002	1708	1697
1003	1709	1696
1004	1711	1694
1005	1712	1692
1006	1714	1690
1007	1716	1689
1008	1718	1687
1009	1720	1686
1010	1721	1684
1011	1723	1682
1012	1724	1680
1013	1726	1678
1014	1727	1676
1015	1729	1675
1016	1731	1673
1017	1733	1672
1018	1735	1670
1019	1737	1669
1020	1738	1667
1021	1740	1665
1022	1742	1663
1023	1743	1661
1024	1745	1660
1025	1746	1658
1026	1749	1657
1027	1751	1656
1028	1753	1654
1029	1754	1652
1030	1756	1650
1031	1757	1648
1032	1759	1647
1033	1761	1645
1034	1762	1643
1035	1764	1641
1036	1766	1640
